OBJECT_ID,RA,DEC,TESS_mag_0,TESS_mag_err_0,DATE-OBS_TESS_mag_0
239112241098992512,47.024677331119335,40.91879854177786,3.3223675,0.0002142113,2022-11-23T23:59:21.340
239112241099353984,47.03878803011365,40.91282204434008,3.3249696,0.00021454539,2022-11-23T23:59:21.340
239112271166148736,47.0444495400711,40.93867630040127,3.1241239,0.0001905589,2022-11-23T23:59:21.340
239112275458274944,47.03897740049882,40.93189943449208,3.1568507,0.00019423061,2022-11-23T23:59:21.340
239112309817207808,47.06296226090242,40.93005921423333,3.2020373,0.00019944613,2022-11-23T23:59:21.340
239112309817208320,47.068051871830576,40.92931789699678,3.215386,0.00020102014,2022-11-23T23:59:21.340
239112339885626624,47.071621776904124,40.944602050741494,3.1577867,0.0001943369,2022-11-23T23:59:21.340
239112344176945792,47.08184744001696,40.93698824501587,3.3159826,0.00021339424,2022-11-23T23:59:21.340
239112344178207360,47.072136805998774,40.94665662887687,3.1577867,0.0001943369,2022-11-23T23:59:21.340
239112344178207488,47.074339866155945,40.94623624179352,3.1945878,0.0001985744,2022-11-23T23:59:21.340
239112378537488128,47.06287060738197,40.93813723893346,3.169304,0.00019565087,2022-11-23T23:59:21.340
239112378537488256,47.05606299742031,40.93991295477339,3.1291813,0.00019112062,2022-11-23T23:59:21.340
239112378537488896,47.05117699230441,40.94078778308351,3.1204413,0.00019015116,2022-11-23T23:59:21.340
239112412895224192,47.066221686532,40.96351032145808,3.1365866,0.00019194686,2022-11-23T23:59:21.340
239112412897226240,47.06109161265445,40.94796913533544,3.1283377,0.00019102678,2022-11-23T23:59:21.340
239112412897226368,47.061296544825545,40.947077503917086,3.1283377,0.00019102678,2022-11-23T23:59:21.340
239112442964844544,47.10475401896781,40.9282190001197,4.9067326,0.00062709758,2022-11-23T23:59:21.340
239112442964844672,47.10498608022421,40.93392974939308,4.5160579,0.00046969735,2022-11-23T23:59:21.340
239112447254968448,47.10517365516054,40.926530970531545,4.9067326,0.00062709758,2022-11-23T23:59:21.340
239112447256965760,47.10984913993078,40.92203769481417,5.2193387,0.00079873288,2022-11-23T23:59:21.340
239112447257671296,47.104161880809336,40.925642961092194,4.169199,0.00036824678,2022-11-23T23:59:21.340
239112447257671424,47.1047415915074,40.925022177060804,4.169199,0.00036824678,2022-11-23T23:59:21.340
239112481614702464,47.12352260158987,40.935779561788024,4.5479609,0.00048063375,2022-11-23T23:59:21.340
239112481615899520,47.11293437508991,40.940793477582616,6.1493715,0.0017177232,2022-11-23T23:59:21.340
239112481616702208,47.11421346338246,40.94507896135112,4.7203117,0.00054526291,2022-11-23T23:59:21.340
239112515974445056,47.09980354026555,40.931349635837364,3.8909152,0.00030573338,2022-11-23T23:59:21.340
239112515975637248,47.09057891199088,40.94204263991,3.3880181,0.00022284318,2022-11-23T23:59:21.340
239112515975638272,47.10213431280291,40.93690988022444,4.2385914,0.00038622348,2022-11-23T23:59:21.340
239112546044060032,47.109611669773614,40.95628568744743,4.7713289,0.00056633911,2022-11-23T23:59:21.340
239112550334177024,47.11594937968984,40.957181051927044,4.7713289,0.00056633911,2022-11-23T23:59:21.340
239112550334177280,47.11709351275902,40.95308609810782,4.7775722,0.00056898386,2022-11-23T23:59:21.340
239112550334177536,47.10436120210165,40.95502603181224,4.9419128,0.00064411191,2022-11-23T23:59:21.340
239112550335372544,47.109381307876355,40.95871318809505,4.7713289,0.00056633911,2022-11-23T23:59:21.340
239112550335372928,47.10668222687707,40.9548438550567,4.9419128,0.00064411191,2022-11-23T23:59:21.340
239112580399701248,47.131560353263936,40.96026055471399,3.3736299,0.00022091475,2022-11-23T23:59:21.340
239112584695111680,47.129782034290464,40.958430170190425,3.3471354,0.00021741793,2022-11-23T23:59:21.340
239112584696624256,47.13954566575128,40.94966755773302,3.295844,0.00021084257,2022-11-23T23:59:21.340
239112614759424000,47.147309381858314,40.96357275622246,3.7567084,0.00028030198,2022-11-23T23:59:21.340
239112614759439360,47.14452720971458,40.95721723713939,3.4763219,0.0002351508,2022-11-23T23:59:21.340
239112614759439488,47.14395941054362,40.959279008683836,3.4763219,0.0002351508,2022-11-23T23:59:21.340
239112614759439744,47.13873314572184,40.960769872641116,3.3358211,0.0002159457,2022-11-23T23:59:21.340
239112619053651456,47.14160344484528,40.974509817017804,3.5350419,0.00024380759,2022-11-23T23:59:21.340
239112619053651712,47.14714808198659,40.965551006508825,3.7567084,0.00028030198,2022-11-23T23:59:21.340
239112619053652480,47.14764623463872,40.96160621586298,3.7888713,0.00028614906,2022-11-23T23:59:21.340
239112653415392896,47.1175973624271,40.970321357794695,3.609612,0.0002553834,2022-11-23T23:59:21.340
239112683478057472,47.13605812855745,40.97309672100847,3.5350419,0.00024380759,2022-11-23T23:59:21.340
239112683478916736,47.1333306290501,40.971509946130375,3.3942143,0.00022368014,2022-11-23T23:59:21.340
239112683478917120,47.13327684706453,40.98535697143567,3.4952537,0.00023789922,2022-11-23T23:59:21.340
239112687775130880,47.13548255676802,40.97744472403671,3.5350419,0.00024380759,2022-11-23T23:59:21.340
239112717842749824,47.0834067391515,40.95885500804903,3.248131,0.00020494734,2022-11-23T23:59:21.340
239112722134064256,47.08769243698665,40.95579166211317,3.4517232,0.00023163869,2022-11-23T23:59:21.340
239112722134870528,47.09171136152882,40.9547752058543,3.4517232,0.00023163869,2022-11-23T23:59:21.340
239112756493802880,47.10202577607458,40.956860186216446,4.9419128,0.00064411191,2022-11-23T23:59:21.340
239112756494608256,47.10041761601391,40.971368571751185,5.07313,0.00071248357,2022-11-23T23:59:21.340
239112790852345984,47.06869119697106,40.96681609811591,3.1693827,0.00019565989,2022-11-23T23:59:21.340
239112790853539968,47.0767819005103,40.97584247335596,3.2890369,0.00020998869,2022-11-23T23:59:21.340
239112790854346752,47.07476890444095,40.97521137968334,3.2890369,0.00020998869,2022-11-23T23:59:21.340
239112820921964800,47.08023076681602,40.97774764787865,3.5017984,0.0002388587,2022-11-23T23:59:21.340
239112820921965312,47.08980362123766,40.98704791695873,5.6572706,0.0011368228,2022-11-23T23:59:21.340
239112820921965568,47.094582638324695,40.976088420492204,5.2773202,0.00083619643,2022-11-23T23:59:21.340
239112825212081792,47.08451551382592,40.986111919377606,4.255583,0.00039078785,2022-11-23T23:59:21.340
239112825212082560,47.08488672074184,40.980657186999785,4.068266,0.00034389502,2022-11-23T23:59:21.340
239112825212082944,47.08345929962831,40.980021171665115,3.603195,0.00025436062,2022-11-23T23:59:21.340
