source_id,ra,dec
239863035741106048,47.05104409723872,40.97178008376418
239109870274646528,47.004006503911334,40.815044827360616
239109870275558784,47.00215537018978,40.814250863992925
239854789403758848,46.918229803028375,40.822070029098235
239854789404800384,46.925743148572955,40.82503237565963
239854853827431040,46.919945913463394,40.82914689262685
239854853827449728,46.91343114076376,40.83889527003723
239854858123233920,46.90584536561107,40.82491719802851
239855025626126080,46.89634949338085,40.830700555553605
239855059985880064,46.892380463706544,40.83916515464179
239855059985881984,46.903177042473686,40.84008834342044
239855094345636352,46.878266516140286,40.849950775410264
239855094347168256,46.8763380956324,40.8489949658667
239855098642442496,46.87646985632074,40.84861354634946
239855133001132928,46.881834959623376,40.85212058062322
239855850259902080,46.86942335191276,40.862783774058286
239855854556684544,46.86763500571046,40.85675410275782
239855884619641216,46.88404906353614,40.8632044266436
239855888914628608,46.88499346573686,40.86582705596817
239855888914631040,46.88072435627454,40.86348629852053
239855888915370240,46.87151062057116,40.865293022229736
239855888916418304,46.87374795915537,40.870889056975216
239855888916661760,46.87909959581955,40.87088490359441
239855918979385344,46.86831226782605,40.866422993604374
239855923274370176,46.86688959213976,40.86675274528669
239855953339159936,46.87258392127299,40.884183909616205
239855953339164416,46.86774311770395,40.885576710824594
239856125137860864,46.84425741415794,40.88955883645169
239856129435378304,46.84802148452133,40.87824568218893
239856163793266688,46.85222506601568,40.884691445408905
239856163794321024,46.8498745766563,40.89179598278388
239856163795115264,46.85246685772511,40.89722081332048
239856232513793792,46.84518284772691,40.90632584407625
239859183154629248,46.83077118273558,40.91771895763471
239859183154629376,46.82890873544797,40.9178904885895
239859183154633472,46.829661689861474,40.91965262284349
239859251874142080,46.82338909385144,40.93582834215225
239859256171565568,46.83087739128373,40.9295041713637
239860660622621824,46.94193104810844,40.82721173459586
239860660623221248,46.93161072295029,40.832629689060745
239860664920057728,46.94330920121613,40.830539880728395
239860664920061696,46.93686429404101,40.82103940670201
239860694982989568,46.943857908102906,40.8491327300843
239860694982991744,46.94586093701476,40.8505179589137
239860699278001280,46.94917003070856,40.8450444733155
239860729342721408,46.92445192585162,40.84575587142904
239860733638489856,46.921056091650044,40.84973024190875
239860733639534336,46.92322366064363,40.83681262986046
239860763702464896,46.93284632236025,40.8481263415716
239860763702469760,46.94080132838622,40.850726294153326
239860763702484736,46.93128007474736,40.859663921141575
239860798062205824,46.950511570357584,40.84954753391476
239860798062229504,46.956132467502385,40.862320144848944
239860802357965184,46.95605461752273,40.86371567073493
239860802359000576,46.95264839808917,40.86169781920177
239860802359003136,46.95165776603245,40.851427597610886
239860832421963520,46.9683116955382,40.8603680074633
239860836717703936,46.97506425308193,40.86671961674078
239860836718734208,46.965546499847584,40.8736246212564
239860836718735232,46.96941705715036,40.86911230127444
239860866781709696,46.941658759761516,40.86550835612378
239860871077440512,46.94287347625776,40.86454050856319
239860871078475264,46.948299748070916,40.86782185494409
239860871078476288,46.935969634503714,40.86886229744232
239860901141482496,46.95486098366859,40.882287878790606
239860905436405632,46.95521607671192,40.889761636960564
239860935501166848,46.91906511725938,40.85424756571455
239860935501166976,46.915065061624375,40.85387577039
239860939796916736,46.91458496044263,40.86026056144449
239860939796918272,46.9167845724457,40.85591713618427
239860939796919680,46.91765880469365,40.849099848032026
239860969860921472,46.91401094240095,40.863821326074586
239860969860927232,46.92363197476523,40.86691809873401
239860969860944000,46.92375708074366,40.87584890549569
239860974155898880,46.91687774348041,40.869161057254246
239860974156650624,46.923770016795444,40.87163792012731
239861004220653696,46.89938987987848,40.86007241402019
239861004220666624,46.89742673039417,40.86754887234504
239861008517431296,46.903923887461026,40.87300185021522
239861008518226176,46.900753945144814,40.87073716683042
239861038580431744,46.90335698501058,40.88056462770182
239861072940150784,46.93364473221496,40.8712135152487
239861072941498752,46.93374256375133,40.869814184373375
239861111596638080,46.94587579549421,40.890533908505866
239861111596638336,46.95264129451501,40.887996902354054
239861176020717056,46.93044418023696,40.908136651021735
239861180314305024,46.93091563482001,40.908278232133554
239861180314312192,46.93040839555495,40.89787360970003
239861180314721280,46.932862637143984,40.90813527742578
239861180315069440,46.94267119346289,40.90174070529403
239861180316109824,46.93855432595011,40.908039130029955
239861249033786112,46.98828324057835,40.88569622860957
239861249034552192,46.98976370930594,40.895115203394084
239861279098614016,46.96087335109571,40.88733037860419
239861279098616448,46.957845225914525,40.88878876223151
239861279098621824,46.963023390801894,40.89082978204028
239861283394287104,46.96296878135831,40.898196882166
239861283394287872,46.96844609651083,40.896785240950244
239861283396209536,46.965012918362156,40.901255330622
239861313459669632,46.97471557754295,40.9011588952351
239861313460510592,46.97864628572145,40.90485113132274
239861317753248128,46.97762427423524,40.907080121059316
239861317753248256,46.978165669908925,40.906857560921125
239861317753256960,46.97396951377999,40.89836660840149
239861317753259648,46.97418830482261,40.89492852566202
239861317754026752,46.978908337527464,40.89597721561408
239861317754194560,46.97289527048957,40.89661640240543
239861317755062528,46.9797253841508,40.896900403423516
239861352112981120,46.9986701413651,40.90884129071691
239861352112983040,46.99372363185133,40.90861736124231
239861352114792960,46.997480691236994,40.90917879123522
239861352115014784,46.99945509691511,40.89154071321326
239861386473149952,47.016378035164934,40.91049817038957
239861386473150080,47.0148851139119,40.910317076171204
239861386473499776,47.01047343242493,40.91634543509437
239861420834264960,46.989542084231054,40.922212453435044
239861420834266112,46.99318264397568,40.918658187907866
239861420834270464,46.99264365513736,40.908792864160034
239861455192173952,46.99828939874228,40.93562639084901
239861455192971136,47.000231005798824,40.935225679173406
239861455193998848,47.005738192639136,40.931077935454034
239861455193999616,46.99460513336377,40.93186120275696
239861455194004608,46.998538575364186,40.91703451517949
239861489551947392,46.96279318685838,40.90232685960613
239861489551955712,46.95421558924018,40.89358522771396
239861523911673088,46.97209791659734,40.91533605909143
239861523913483648,46.97090996513044,40.91925388754681
239861523913489408,46.966926036953545,40.905385387897304
239861553976557184,46.944702789247664,40.90526232643681
